Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;NRO. VA01/VA21;ESTADO ITEM;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00314 CASA Olavarría;1001687;ZSTO;ANTEOJO INCOLORO ECOLINEHC;LIBUS;ECOLINEHC (MÚLT. 10U);MR01;314;V1;78;135;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;ACCESORIO SEGURIDAD;KG;ZPAS;1000086849;SIN TRATAMIENTO;;;;;5/5/2026;20/4/2026;;
00223 Comp Amb Santa Fe;1001747;ZSTO;BOTA GOMA P.ACERO N 43;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;ZPAS;1000086492;SIN TRATAMIENTO;;;;;4/5/2026;13/4/2026;;
00314 CASA Olavarría;1001726;ZSTO;SUSPENSION CREMALLERA;LIBUS;MILENIUM;MR01;314;V1;4;8;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;ACCESORIO SEGURIDAD;KG;ZPAS;1000086849;SIN TRATAMIENTO;;;;;5/5/2026;20/4/2026;;
00314 CASA Olavarría;1001885;ZSTO;BOLSAS RESIDUOS XUN 102X130 VERDE;;;MR01;314;V1;13;23;C17;INSUMOS A;LIMPIEZA;LIMPIEZA /SEGURIDAD;KG;ZPAS;1000086849;SIN TRATAMIENTO;;;;;5/5/2026;20/4/2026;;
00223 Comp Amb Santa Fe;1001895;ZSTO;ALCOHOL LIQUIDO X LITRO;;;MR01;223;V1;4;9;C17;INSUMOS A;LIMPIEZA;ALCOHOL LIQUIDO;KG;ZPAS;1000086492;DESPACHADO;;;15/4/2026;20/4/2026;4/5/2026;13/4/2026;;
00223 Comp Amb Santa Fe;1002004;ZSTO;CAMISA JEAN T.46 C LOGO;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;ZPAS;1000086492;DESPACHADO;;;15/4/2026;20/4/2026;4/5/2026;13/4/2026;;
00314 CASA Olavarría;1001888;ZSTO;BOLSAS RESIDUOS XUN 102X130 NEGRA;;;MR01;314;V1;34;60;C17;INSUMOS A;LIMPIEZA;LIMPIEZA /SEGURIDAD;KG;ZPAS;1000086849;SIN TRATAMIENTO;;;;;5/5/2026;20/4/2026;;
00314 CASA Olavarría;1001892;ZSTO;BOLSAS RESIDUOS XUN 102X130ROJA100MICXUN;;;MR01;314;V1;34;60;C17;INSUMOS A;LIMPIEZA;LIMPIEZA /SEGURIDAD;KG;ZPAS;1000086849;SIN TRATAMIENTO;;;;;5/5/2026;20/4/2026;;
00223 Comp Amb Santa Fe;1002085;ZSTO;TRAJE DE LLUVIA T.XXXL;;;MR01;223;V1;2;5;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;ZPAS;1000086492;DESPACHADO PARCIAL;;;15/4/2026;20/4/2026;4/5/2026;13/4/2026;;
00223 Comp Amb Santa Fe;1002087;ZSTO;TRAJE DE LLUVIA T.XL;;;MR01;223;V1;2;5;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;ZPAS;1000086492;DESPACHADO;;;15/4/2026;20/4/2026;4/5/2026;13/4/2026;;
