Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA
1047285;ZSCD;MECHA WIDIA SDS PLUS Ø12MM 450MM;374;RE;10;10;FERRETERIA;;;0;0,00%;8/9/2026
1015790;ZSSD;ESPONJA P/LAVAR VAJILLA X UN;374;RE;26;26;LIMPIEZA;;;0;0,00%;8/9/2026
1015783;ZSSD;CINTA REFLECTIVA ROJA X MTS;374;RE;50;50;SEGURIDAD;;;0;0,00%;8/9/2026
1001994;ZSTO;ELECTRODO AWS7018 X 2,50 MM X KG;374;RE;30;30;SOLDADURA;;;0;0,00%;8/9/2026
1001993;ZSTO;ELECTRODO AWS7018 X 3,25 MM X KG;374;RE;32;32;SOLDADURA;;;0;0,00%;8/9/2026
1001672;ZSTO;ALAMBRE 4.06MM NEGRO RECOCIDO XKG;374;RE;600;600;ACEROS;;;0;0,00%;8/9/2026
1026248;ZSCD;"DISCO FLAP TYROLIT (847929SL)7""x7/8 G80";374;RE;60;60;FERRETERIA;;;0;0,00%;8/9/2026
1001673;ZSTO;ALAMBRE 1.42MM NEGRO RECOCIDO P ATAR XKG;374;RE;2100;2100;ACEROS;60;;60;2,86%;8/9/2026
1001702;ZSTO;GUANTE SOLDADOR COSTURA KEVLAR;374;RE;21;21;SEGURIDAD;1;;1;4,76%;8/9/2026
1017086;ZSSD;AZADA CON CABO;374;RE;20;20;FERRETERIA;1;;1;5,00%;8/9/2026
1016909;ZSSD;CINTA METRICA X5MT;374;RE;70;70;FERRETERIA;4;;4;5,71%;8/9/2026
1001684;ZSTO;DELANTALDESCARNE0.60X1.20CONREFUERZO;374;RE;15;15;SEGURIDAD;1;;1;6,67%;8/9/2026
1017021;ZSSD;CUADERNO ESPIRAL CUAD A4 T.DURA 80 HJ;374;RE;14;14;LIBRERIA;1;;1;7,14%;8/9/2026
1001943;ZSTO;ADHESIVO CIANO 20 G XUN;374;RE;13;13;FERRETERIA;1;;1;7,69%;8/9/2026
