Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible
1016910;ZSSD;CINTA METRICA X10MT CON PASACINTO;378;RE;5;5;FERRETERIA;3;;3;60,00%
1015788;ZSSD;DESODORANTE LÍQUIDO PARA PISO X 5 LTS;378;RE;12;12;LIMPIEZA;8;;8;66,67%
1058841;ZSCD;CEPILLO PIPELINE ACERO 44T 178X6X22,23MM;378;RE;20;20;FERRETERIA;;15;15;75,00%
1001697;ZSTO;GUANTE VAQUETA MEDIO PASEO T.10;378;RE;282;282;SEGURIDAD;50;182;232;82,27%
1015866;ZSSD;TRAPO DE PISO X UN;378;RE;23;23;LIMPIEZA;19;;19;82,61%
1017243;ZSSD;BOTA PETROLERA N 42;378;RE;15;15;SEGURIDAD;12;2;14;93,33%
1001778;ZSTO;YERBA MATE X 500GRS X UN;378;RE;79;79;ALIMENTOS;14;60;74;93,67%
1001678;ZSTO;FICHA T.STECK HEMBRA 220V 16A 2P T X UN;378;RE;22;22;ELECTRICIDAD;18;4;22;100,00%
1001686;ZSTO;ANTEOJO GRIS;378;RE;253;253;SEGURIDAD;;253;253;100,00%
1001676;ZSTO;CLAVOS P.PARIS 2 1 2 XKG;378;RE;35;35;ACEROS;10;25;35;100,00%
1002071;ZSTO;CAMPERA DESCARNE T.XXXL;378;RE;13;13;SEGURIDAD;;13;13;100,00%
1002063;ZSTO;CAMPERA DESCARNE T.XL;378;RE;24;24;SEGURIDAD;;24;24;100,00%
1001970;ZSTO;ESMALTE SINT. AEROSOL NEGRO X440CC;378;RE;24;24;PINTURAS;;24;24;100,00%
1001969;ZSTO;ESMALTE SINT. AEROSOL BLANCO X440CC;378;RE;28;28;PINTURAS;;28;28;100,00%
1001923;ZSTO;AGROPOL 100 MIC 4X50MTS;378;RE;5;5;FERRETERIA;;5;5;100,00%
1001931;ZSTO;DISCO LIJA ESMERIL 178x22 GRANO 36;378;RE;200;200;FERRETERIA;;200;200;100,00%
1001927;ZSTO;DISCO CORTE 178X1.6X22 SECUR EXTRA  x UN;378;RE;320;320;FERRETERIA;;320;320;100,00%
1001904;ZSTO;DETERGENTE X 5 LTS;378;RE;9;9;LIMPIEZA;;9;9;100,00%
1001893;ZSTO;BOLSARESIDUPLASTICA60X90NEGRAXROLLOX10UN;378;RE;150;150;LIMPIEZA;;150;150;100,00%
1001881;ZSTO;MARCADOR INDUSTRIAL - ROJO UNIPAINT X UN;378;RE;24;24;LIBRERIA;;24;24;100,00%
1001878;ZSTO;CINTA DE ENMASCARAR 48MM X ROLLO;378;RE;14;14;LIBRERIA;;14;14;100,00%
