Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;NRO. VA01/VA21;ESTADO ITEM;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00223 Comp Amb Santa Fe;1001673;ZSTO;ALAMBRE 1.42MM NEGRO RECOCIDO P ATAR XKG;;MÚLT. 45/50 KG;MR01;223;V1;30;68;C08;ACERO;ACEROS;ALAMBRES;KG;ZPAS;1000094543;DESPACHADO;;;31/8/2026;2/9/2026;17/9/2026;28/8/2026;;
00223 Comp Amb Santa Fe;1001747;ZSTO;BOTA GOMA P.ACERO N 43;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;ZPAS;1000094543;DESPACHADO;;;31/8/2026;2/9/2026;17/9/2026;28/8/2026;;
00223 Comp Amb Santa Fe;1001756;ZSTO;BOTIN MARRON/NEGRO FLOR P.ACERO N 40;CONWORK // BORIS // VORAN // CALZADOS A // // //;53BAF // 3305 T40 // CRONOS N T40 // ESCORPIO PRUS 1050 T40 // RINGO MOD BOLT TALLE 40 // RINGO-MOD PUNCH TALLE 40 // SKIWAY MOD. 3243 T40;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;ZPAS;1000093873;DESPACHADO;;;19/8/2026;2/9/2026;7/9/2026;18/8/2026;;
00223 Comp Amb Santa Fe;1001796;ZSTO;ACEITE MOTOR 2T X 1 LT;;;MR01;223;V1;1;2;C27;FERRETERIA MR01;LUBRICANTES;ACEITES;KG;ZPAS;1000094543;DESPACHADO;;;31/8/2026;2/9/2026;17/9/2026;28/8/2026;;
00223 Comp Amb Santa Fe;1002514;ZSTO;FILTRO ACEITE;JOHN DEERE // JOHN DEERE;RE541420 // RE504836;MR01;223;V1;3;6;F03;FILTRO ACEITE;FILTROS;J.D. 544K/310J;KG;ZPAS;1000093465;DESPACHADO;;;24/8/2026;2/9/2026;1/9/2026;11/8/2026;;
00223 Comp Amb Santa Fe;1001842;ZSTO;PROTECTOR P CAMARA 12.00;;;MR01;223;V1;4;9;C52;CAMARAS;CUBIERTAS;CUBIERTAS;KG;ZPAS;1000094543;SIN TRATAMIENTO;;;;;17/9/2026;28/8/2026;;
00223 Comp Amb Santa Fe;1002088;ZSTO;TRAJE DE LLUVIA T.XXL;;;MR01;223;V1;2;5;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;ZPAS;1000093873;DESPACHADO;;;19/8/2026;2/9/2026;7/9/2026;18/8/2026;;
00223 Comp Amb Santa Fe;1001933;ZSTO;DISCO 114x1,6x222 REFORZADO x UN;TYROLIT;114X16X222;MR01;223;V1;17;38;C27;FERRETERIA MR01;FERRETERIA;ABRASIVOS/DISCOS;KG;ZPAS;1000094543;DESPACHADO;;;31/8/2026;2/9/2026;17/9/2026;28/8/2026;;
00223 Comp Amb Santa Fe;1002009;ZSTO;CAMISA JEAN T.56 C LOGO;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;ZPAS;1000094543;DESPACHADO;;;31/8/2026;2/9/2026;17/9/2026;28/8/2026;;
00223 Comp Amb Santa Fe;1002017;ZSTO;PANTALON JEAN T.50;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;ZPAS;1000094543;DESPACHADO;;;31/8/2026;2/9/2026;17/9/2026;28/8/2026;;
00223 Comp Amb Santa Fe;1002832;ZSTO;FILTRO COMBUSTIBLE;FLEETGUARD // FLEETGUARD // DONALDSON // MANN //;2RK127177A // FF5052 // P553004 // WK723 // DB0519;MR01;223;V1;2;3;F06;FILTRO COMBUSTIBLE;FILTROS;VW 26260 - ONAN;KG;ZPAS;1000094306;DESPACHADO;;;26/8/2026;2/9/2026;14/9/2026;25/8/2026;;
00223 Comp Amb Santa Fe;1002086;ZSTO;TRAJE DE LLUVIA T.L;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;ZPAS;1000094543;DESPACHADO;;;31/8/2026;2/9/2026;17/9/2026;28/8/2026;;
00223 Comp Amb Santa Fe;1002781;ZSTO;FILTRO AIRE;JOHN DEERE;AL172780;MR01;223;V1;2;3;F04;FILTRO AIRE;FILTROS;JD 6615;KG;ZPAS;1000094306;DESPACHADO;;;26/8/2026;2/9/2026;14/9/2026;25/8/2026;;
00223 Comp Amb Santa Fe;1002613;ZSTO;FILTRO AIRE;JOHN DEERE;AL150288;MR01;223;V1;2;3;F04;FILTRO AIRE;FILTROS;JD 6615;KG;ZPAS;1000094306;DESPACHADO;;;26/8/2026;2/9/2026;14/9/2026;25/8/2026;;
00223 Comp Amb Santa Fe;1002557;ZSTO;FILTRO COMBUSTIBLE XUN;JOHN DEERE;RE62418;MR01;223;V1;2;3;F06;FILTRO COMBUSTIBLE;FILTROS;JD 6615;KG;ZPAS;1000094306;DESPACHADO;;;26/8/2026;2/9/2026;14/9/2026;25/8/2026;;
00223 Comp Amb Santa Fe;1002552;ZSTO;COMBUSTIBLE J.D. XUN;JOHN DEERE // JOHN DEERE;DQ24057 // AT81478;MR01;223;V1;2;3;F06;FILTRO COMBUSTIBLE;FILTROS;JD 6615;KG;ZPAS;1000094306;DESPACHADO;;;26/8/2026;2/9/2026;14/9/2026;25/8/2026;;
