Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;ESTADO ITEM;NRO. VA01/VA21;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00223 Comp Amb Santa Fe;1002087;ZSTO;TRAJE DE LLUVIA T.XL;;;MR01;223;V1;2;5;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;ZPAS;DESPACHADO;1000093873;;;19/8/2026;2/9/2026;7/9/2026;18/8/2026;;
00223 Comp Amb Santa Fe;1001949;ZSTO;CANDADO 30MM XUN;;;MR01;223;V1;2;5;C27;FERRETERIA MR01;FERRETERIA;ACCESORIOS;KG;ZPAS;DESPACHADO;1000093873;;;19/8/2026;2/9/2026;7/9/2026;18/8/2026;;
00223 Comp Amb Santa Fe;1001757;ZSTO;BOTIN MARRON/NEGRO FLOR P.ACERO N 41;CONWORK // BORIS // VORAN // CALZADOS A // // //;53BAF // 3305 T41 // CRONOS N T41 // ESCORPIO PRUS 1050 T41 // RINGO MOD BOLT TALLE 41 // RINGO-MOD PUNCH TALLE 41 // SKIWAY MOD. 3243 T41;MR01;223;V1;1;2;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;ZPAS;DESPACHADO;1000094543;;;31/8/2026;2/9/2026;17/9/2026;28/8/2026;;
00223 Comp Amb Santa Fe;1002901;ZSTO;FILTRO ACEITE;FLEETGUARD // DONALDSON // KOMATSU HO;LF9009 // P553000 // 6742014540;MR01;223;V1;1;2;F03;FILTRO ACEITE;FILTROS;VW 31-320 - 19360;KG;ZPAS;DESPACHADO;1000094595;;;31/8/2026;2/9/2026;18/9/2026;31/8/2026;;
00223 Comp Amb Santa Fe;1003138;ZSTO;FILTRO DE COMBUSTIBLE;KOMATSU HO // KOMATSU HO;6003193750 // 6003113750;MR01;223;V1;1;2;F06;FILTRO COMBUSTIBLE;FILTROS;KOMATSU PC 200-8;KG;ZPAS;DESPACHADO;1000094595;;;31/8/2026;2/9/2026;18/9/2026;31/8/2026;;
00223 Comp Amb Santa Fe;1016537;ZSTO;KIT FILTRO DE AIRE PRIMARIO Y SECUNDARIO;KOMATSU HO // DARMET;6001855100 // VP-3722 + VP-3723;MR01;223;V1;1;2;F04;FILTRO AIRE;FILTROS;PC2000;KG;ZPAS;DESPACHADO;1000094595;;;31/8/2026;2/9/2026;18/9/2026;31/8/2026;;
00314 CASA Olavarría;1049047;ZSTO;PLACA AGARRE DE PUNTA MARTILLO;;B36410142;MM01;26;V1;1;3;C03;EQUIPOS;REPUESTOS;DAEMO;KG;ZPAN;ADJUDICADO;1000089735;4500129943;;;;22/6/2026;5/6/2026;C03;10151806
00314 CASA Olavarría;1016262;ZSTO;Filtro Aire de Unidad Compresora Exterio;ATLAS COPC;2653 3762 08;MM01;26;V1;1;2;F04;FILTRO AIRE;FILTROS;PERFORADORA ATLAS T45-12;KG;ZPAS;SIN TRATAMIENTO;1000092816;;;;;12/9/2026;30/7/2026;;
00314 CASA Olavarría;1034538;ZSTO;CONDENSADOR A/A;;22768927 // 22768793;MM01;26;RE;1;1;C03;EQUIPOS;REPUESTOS;VOLVO 460 FMX;KG;ZPAN;SIN TRATAMIENTO;1000092853;;;;;15/8/2026;31/7/2026;;10156176
00314 CASA Olavarría;1003486;ZSTO;ESCOBILLA LIMPIAPARABRISAS P TRAKKER 380;TRICO;TX650;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;IVECO;KG;ZPAN;ADJUDICADO;1000093732;4500136232;;;;29/8/2026;14/8/2026;C29;10157495
00314 CASA Olavarría;1001994;ZSTO;ELECTRODO AWS7018 X 2,50 MM X KG;CONARCO;AWS7018;MR01;314;V1;4;8;C27;FERRETERIA MR01;SOLDADURA;ELECTRODOS;KG;ZPAS;EMBALADO;1000094006;;;3/9/2026;;4/9/2026;20/8/2026;;
