Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA;Columna1;Columna2
1001865;ZSTO;MARCADORINDUSTRIAL-VERDEXUN;374;RE;60;60;LIBRERIA;2;;2;3,33%;8/9/2026;49;
1054305;ZSCD;AEROSOL BASE AGUA ROJO X440CC;374;RE;150;150;INSUMOS;6;;6;4,00%;8/9/2026;24;
1017050;ZSSD;BOBINA PAPEL 25CM 400MT;374;RE;40;40;LIMPIEZA;6;;6;15,00%;8/9/2026;11;
1015788;ZSSD;DESODORANTE LÍQUIDO PARA PISO X 5 LTS;374;RE;100;100;LIMPIEZA;20;;20;20,00%;8/9/2026;27;CONSULTAR
1001950;ZSTO;CANDADO 38-40MM XUN;374;RE;20;20;FERRETERIA;4;;4;20,00%;8/9/2026;12;CONSULTAR
1001878;ZSTO;CINTA DE ENMASCARAR 48MM X ROLLO;374;RE;140;140;LIBRERIA;34;;34;24,29%;8/9/2026;31;
1016965;ZSSD;PORTABLOCK ACRILICO C CLIP SUPERIOR;374;RE;35;35;LIBRERIA;9;;9;25,71%;8/9/2026;17;
1015866;ZSSD;TRAPO DE PISO X UN;374;RE;77;77;LIMPIEZA;21;;21;27,27%;8/9/2026;31;
1001728;ZSTO;ADAPTADOR PROTECTOR FACIAL AUDITIVO;374;RE;70;70;SEGURIDAD;20;;20;28,57%;8/9/2026;33;
1017021;ZSSD;CUADERNO ESPIRAL CUAD A4 T.DURA 80 HJ;374;RE;14;14;LIBRERIA;4;;4;28,57%;8/9/2026;10;
1001877;ZSTO;CINTA EMBALAR MARRON 48MM X 100 MT;374;RE;35;35;LIBRERIA;;10;10;28,57%;8/9/2026;16;
1016017;ZSCD;BOTIN CONW 53 BAF MARRON FLOR P.ACER N36;374;RE;7;7;SEGURIDAD;2;;2;28,57%;8/9/2026;5;
1016919;ZSSD;LUBRICANTE MULTIUSO WD-40 440CC;374;RE;90;90;FERRETERIA;27;;27;30,00%;8/9/2026;37;
